1	25-杰兴（杰诺）布行.jpg	25-杰兴（杰诺）布行.jpg	无需改名
2	15-年年发纺织.jpg	15-年年发纺织.jpg	无需改名
3	22-文盛行（原乾辰世景）.jpg	22-文盛行（原乾辰世景）.jpg	无需改名
4	26-文盛行（原乾辰世景）.jpg	26-文盛行（原乾辰世景）.jpg	无需改名
5	40-优粤纺织.jpg	40-优粤纺织.jpg	无需改名
6	40-2-优粤纺织.jpg	40-2-优粤纺织.jpg	无需改名
7	35-红媛织带工艺厂.jpg	35-红媛织带工艺厂.jpg	无需改名
8	20-广新布行.jpg	20-广新布行.jpg	无需改名
9	10-广新布行.jpg	10-广新布行.jpg	无需改名
10	10-2-广新布行.jpg	10-2-广新布行.jpg	无需改名
11	25-琼生布行.jpg	25-琼生布行.jpg	无需改名
12	30-隆发罗纹.jpg	30-隆发罗纹.jpg	无需改名
13	275-隆发罗纹.jpg	275-隆发罗纹.jpg	无需改名
14	30-2-隆发罗纹.jpg	30-2-隆发罗纹.jpg	无需改名
15	110-隆发罗纹.jpg	110-隆发罗纹.jpg	无需改名
16	30-3-隆发罗纹.jpg	30-3-隆发罗纹.jpg	无需改名
17	51-汕头明达纺织.jpg	51-汕头明达纺织.jpg	无需改名
18	80-鑫悦纺织.jpg	80-鑫悦纺织.jpg	无需改名
19	458-鑫悦纺织.jpg	458-鑫悦纺织.jpg	无需改名
20	12-吴江市宏达喷织厂.jpg	12-吴江市宏达喷织厂.jpg	无需改名
21	121-宝年丰布业.jpg	121-宝年丰布业.jpg	无需改名
22	26-宝年丰布业.jpg	26-宝年丰布业.jpg	无需改名
23	100-东辉花边.jpg	100-东辉花边.jpg	无需改名
25	50-怡丰布行.jpg	50-怡丰布行.jpg	无需改名
26	45-怡丰布行.jpg	45-怡丰布行.jpg	无需改名
27	275-怡丰布行.jpg	275-怡丰布行.jpg	无需改名
28	160-怡丰布行.jpg	160-怡丰布行.jpg	无需改名
29	60-万泰布行.jpg	60-万泰布行.jpg	无需改名
30	75-万泰布行.jpg	75-万泰布行.jpg	无需改名
31	25-星盛纺织.jpg	25-星盛纺织.jpg	无需改名
32	60-天达网布.jpg	60-天达网布.jpg	无需改名
33	48-有恒印花.jpg	48-有恒印花.jpg	无需改名
24	30-健业.jpg	30-广东健业纺织集团有限公司.jpg	已改名
