1	65-杰兴（杰诺）布行.jpg	65-杰兴（杰诺）布行.jpg	无需改名
2	60-杰兴（杰诺）布行.jpg	60-杰兴（杰诺）布行.jpg	无需改名
3	50-源丰纺织.jpg	50-源丰纺织.jpg	无需改名
4	10-文盛行（原乾辰世景）.jpg	10-文盛行（原乾辰世景）.jpg	无需改名
5	355-优粤纺织.jpg	355-优粤纺织.jpg	无需改名
6	55-优粤纺织.jpg	55-优粤纺织.jpg	无需改名
7	25-优粤纺织.jpg	25-优粤纺织.jpg	无需改名
8	125-优粤纺织.jpg	125-优粤纺织.jpg	无需改名
10	455-优粤纺织.jpg	455-优粤纺织.jpg	无需改名
11	12-铭辉纺织.jpg	12-铭辉纺织.jpg	无需改名
12	30-洲发纺织.jpg	30-洲发纺织.jpg	无需改名
13	90-隆发罗纹.jpg	90-隆发罗纹.jpg	无需改名
14	60-隆发罗纹.jpg	60-隆发罗纹.jpg	无需改名
15	90-2-隆发罗纹.jpg	90-2-隆发罗纹.jpg	无需改名
16	50-隆发罗纹.jpg	50-隆发罗纹.jpg	无需改名
17	85-隆发罗纹.jpg	85-隆发罗纹.jpg	无需改名
18	550-琼生布行.jpg	550-琼生布行.jpg	无需改名
19	25-琼生布行.jpg	25-琼生布行.jpg	无需改名
20	19-宝年丰布业.jpg	19-宝年丰布业.jpg	无需改名
21	102-宝年丰布业.jpg	102-宝年丰布业.jpg	无需改名
22	51-汕头明达纺织.jpg	51-汕头明达纺织.jpg	无需改名
23	51-2-汕头明达纺织.jpg	51-2-汕头明达纺织.jpg	无需改名
24	120-鑫悦纺织.jpg	120-鑫悦纺织.jpg	无需改名
25	20-鑫悦纺织.jpg	20-鑫悦纺织.jpg	无需改名
26	40-鑫悦纺织.jpg	40-鑫悦纺织.jpg	无需改名
27	20-怡丰布行.jpg	20-怡丰布行.jpg	无需改名
28	25-怡丰布行.jpg	25-怡丰布行.jpg	无需改名
29	80-东辉花边.jpg	80-东辉花边.jpg	无需改名
30	14-进盛纺织.jpg	14-进盛纺织.jpg	无需改名
31	20-粤佳衬布.jpg	20-粤佳衬布.jpg	无需改名
32	5-吴江市宏达喷织厂.jpg	5-吴江市宏达喷织厂.jpg	无需改名
33	60-洲发纺织.jpg	60-洲发纺织.jpg	无需改名
34	70-佛山市鑫顺旺纺织有限公司.jpg	70-佛山市鑫顺旺纺织有限公司.jpg	无需改名
35	20-广新布行.jpg	20-广新布行.jpg	无需改名
36	2-SBS-福建浔兴拉链科技股份有限公司.jpg	2-SBS-福建浔兴拉链科技股份有限公司.jpg	无需改名
37	5-NNF拉链.jpg	5-NNF拉链.jpg	无需改名
38	240-巨鍑布业.jpg	240-巨鍑布业.jpg	无需改名
39	220-巨鍑布业.jpg	220-巨鍑布业.jpg	无需改名
40	200-巨鍑布业.jpg	200-巨鍑布业.jpg	无需改名
41	1512-巨鍑布业.jpg	1512-巨鍑布业.jpg	无需改名
42	675-巨鍑布业.jpg	675-巨鍑布业.jpg	无需改名
43	160-巨鍑布业.jpg	160-巨鍑布业.jpg	无需改名
44	50-巨鍑布业.jpg	50-巨鍑布业.jpg	无需改名
45	80-巨鍑布业.jpg	80-巨鍑布业.jpg	无需改名
46	200-2-巨鍑布业.jpg	200-2-巨鍑布业.jpg	无需改名
47	25-星盛纺织.jpg	25-星盛纺织.jpg	无需改名
48	40-飞扬纺织.jpg	40-飞扬纺织.jpg	无需改名
49	90-怡丰布行.jpg	90-怡丰布行.jpg	无需改名
50	30-天达网布.jpg	30-天达网布.jpg	无需改名
51	300-宝年丰布业.jpg	300-宝年丰布业.jpg	无需改名
	90-3-隆发.jpg		未被原表序号使用
